datetime,text,username,target
2022-04-09 22:07:11+00:00,albe una volta finito il programma si farà la pelata e dirà la nword in una canzone,hokkigay, 
2022-04-09 22:07:09+00:00,al pelato dopo questa puntata ricresceranno i capelli,uundefedeted, 
2022-04-09 22:06:49+00:00,Nunzio è pieno del pelato cesso io lo comprendo molto,babusshya, 
2022-04-09 22:06:47+00:00,mio dio nunzio facendo anche esplodere il pelato lui è davvero perfetto,asocialeavita, 
2022-04-09 22:06:44+00:00,Nunzio ha spento quel pelato di Rudy. Bravo nunzietto #Amici21,jessicaesposto_, 
2022-04-09 22:06:40+00:00,"lorella, alex e nunzio oggi hanno detto pelato fuori fila",startwoooork, 
2022-04-09 22:06:39+00:00,bravo nunzio spilla la cazzata che ha sparato il pelato #Amici21,_wirklichich, 
2022-04-09 22:06:35+00:00,nunzio che asfalta il pelato BASTA LO AMO È DEFINITIVO,sweetgiuu, 
2022-04-09 22:06:31+00:00,oggi il pelato asfaltato da tutti #Amici21,ammiraretvtto, 
2022-04-09 22:06:20+00:00,nunzio e malinconico faranno piangere il pelato in prima serata prima o poi,willhvrondl, 
2022-04-09 22:06:17+00:00,urlaglielo nunzio a quel pelato #Amici21,D3F3NC3L3SSX, 
2022-04-09 22:06:17+00:00,Signori anche nunzio spegne il pelato #Amici21 ,SabrinaGelli1, 
2022-04-09 22:06:14+00:00,Nunzio contro il pelato era tutto ciò che attendevo #Amici21,maparliamodiCC, 
2022-04-09 22:06:09+00:00,Nunzio ended il pelato #amici21,lasignorelli, 
2022-04-09 22:06:07+00:00,il modo in cui fra il malinconico e la tarantola stanno asfaltando la zucca pelata,acc4ttone, 
2022-04-09 22:06:02+00:00,un bacino a nunzio e alex x ballare sulla pelata di trudy,risvegIio, 
2022-04-09 22:06:01+00:00,"Nunzio che spegne il pelato, io lo amo proprio lui sarà per sempre famoso #Amici21 ",TaliaSplendente, 
2022-04-09 22:03:48+00:00," Luigi ormai è super pompato, solo perche il pelato deve vincere",Iovanka16, 
2022-04-09 22:02:48+00:00,ditemi che nunzio asfalterà il pelato vi prego ditemelo #Amici21,koala_anxiety, 
2022-04-09 22:00:59+00:00," Per me l'EU ha già allargato troppo il suo campo di azione sulle nostre vite, e meno fa meglio è. In generale la cosa migliore che un potere dello stato può fare, virtualmente sempre, è niente. Lo stato a tutti i livelli (EU compresa) è un leviatano obeso da mettere a dieta.",LucioMM1, 
2022-04-09 22:00:54+00:00,no dia raga siamo oggettivi é stato più bravo crytical per me luigi é un grande no penso che il pelato ha pagato la giuria #Amici21,S0GNIALCIEL0, 
2022-04-09 22:00:30+00:00,"L arroganza del pelato che usa il,guanto che aveva fatto anna perché deve far esibire per l ennesima volta luigi e far passare che sia imbattibile #Amici21",Raffipaffy, 
2022-04-09 22:00:04+00:00," Ha 15 cm di grasso a proteggerlo… No scherzo, massima stima, davvero. Un uomo controverso, ne ammiro l’enorme cultura classica, l’indubbia intelligente, la leadership, mi perplimono certe uscite superficiali e soprattutto l’appoggio alla Brexit.",NextPaolo, 
2022-04-09 21:59:46+00:00,Scusate ma non potete sostituire il pelato con lui ⬇️ ? #Amici21 ,AntonioComigna1, 
2022-04-09 21:59:21+00:00,Lui che sta fulminando il pelato... #Amici21 ,KingLuxifer, 
2022-04-09 21:59:12+00:00,l’invidia palese del pelato nei confronti di crytical lo odia così tanto perché lo vorrebbe in squadra dato che si ritrova con uno che scrive solo che gli occhi marroni son montagne senza neve e un cantante da piano bar che si fa scrivere i testi da altri #Amici21,_wirklichich, 
2022-04-09 21:58:28+00:00, Tipo il nano 😂🤣🤣🤣😂🤣🤣🤣🤣🤣😂🤣🤣🤣,TIZBAN1, 
2022-04-09 21:58:17+00:00,ma luigi sta capendo che a causa del pelato sta perdendo un sacco di consensi? #amici21,koala_anxiety, 
2022-04-09 21:57:16+00:00,lui sta fulminando il pelato #Amici21 #FantaAmici ,saraadiss, 
2022-04-09 21:57:07+00:00,rudy zerbi un’altra parola contro nunzio and you’re over pelato,dejunsense, 
2022-04-09 21:56:33+00:00,fate stare zitto il pelato #amici21,sofixtancrezio, 
2022-04-09 21:56:21+00:00,pelato vuole fare il guanto suo perché già sa palese chi vince madonnina aiutami te stasera #Amici21,jensacqkles, 
2022-04-09 21:54:26+00:00,Io bloccando tutti gli account che cercano di convincere Pippo a rifarsi la pelata #tzvip ,bloodonthetl, 
2022-04-09 21:53:14+00:00,Quanto è ridicolo #Dario. Sul palco ha la stessa presenza scenica di un nano da giardino e lui si crede stocazzo. Allucinante. #Amici #Amici21,LaGio_91, 
2022-04-09 21:52:55+00:00,E quando Michele sbatterà fuori questo nano malefico che fa il bullo da inizio anno quanto riderò e godrò 💋💋💋💋,scappandovia, 
2022-04-09 21:52:13+00:00,Purtroppo io non ce la faccio mi dovevo scegliere proprio i protetti che danno fastidio al pelato e ne sono fiera. #Amici21 #Alex #crytical ,iamaravendor, 
2022-04-09 21:49:41+00:00, Buonanotte Nano 😴😴😴,VictorM77695333, 
2022-04-09 21:47:40+00:00,alex in questa puntata ha deciso di usare la parola della verità con il pelato #AMICI21 ,ethxchosen, 
2022-04-09 21:47:31+00:00,"comunque dire che questa è una coreo di modern è come dire che rudy non è pelato ma ha i capelli lucidi, dai",guardoidettagli, 
2022-04-09 21:47:25+00:00,"M quanto puo'. essere stronza??? Tantissimo, come il culo di una vacca!! Infatti:laicamente parlando.. (la fascista de Latina) detta Giorgina la nana ",artattack3ROMA, 
2022-04-09 21:45:35+00:00,gli #xsfms sanno quanto odio provo per sto pelato miodio ,occhiv3rdi, 
2022-04-09 21:43:25+00:00,"Comunque dovete spiegarmi come doveva uscire Albe al posto di Aisha visto che con quella squadra non c’entra nulla, queste sono le conseguenze di creare le squadre e calcolare solo quelle che convengono al pelato e alla maestra #amici21",vane___96, 
2022-04-09 21:42:35+00:00, Mio padre è pelato quindi boh,iamrealpeely, 
2022-04-09 21:41:47+00:00,alex che scaraventa il pelato ,stattebono, 
2022-04-09 21:40:54+00:00, beh non è morto stamattina il pelato?,yujizucchina, 
2022-04-09 21:40:35+00:00," Questi siete, negate l'evidenza e la storia recente pur di difendere quel nano",Thankilpin, 
2022-04-09 21:37:43+00:00,questo è uno scempio dovete togliere quel pelato da quel cazzo di programma e che cazzo fa solo danni #amici21 ,occhirossi_, 
2022-04-09 21:37:19+00:00,il pelato ha rotto il cazzo con questo atteggiamento verso la pettinelli diosanto ma chi ride a ste robe xpiacere,fvnzioniamo, 
2022-04-09 21:37:17+00:00,La petti è la vita fottuta vita lei pronta a distruggere il pelato #amici21,sonosperduta, 
2022-04-09 21:35:49+00:00,"Il pelato così subdolo che ha fatto i complimenti a Scialbe solo per poter dire ""visto che era lui a dover essere giudicato"" lasciando intendere che Crytical non gli è piaciuto, Maria tu lo devi licenziare basta estop",ailuig96, 
2022-04-09 21:34:32+00:00, intanto sei stata pelata anche tu,jeanlostallone, 
2022-04-09 21:30:34+00:00,Albe settimana prossima si presenta con la pelata pure lui … per essere coerente lo dovrebbe fare …,GiuGiuLolaLove, 
2022-04-09 21:30:27+00:00, Vedo che C'è anche il nano dei tamponi fino al cervello...,LuiginoFrances3, 
2022-04-09 21:29:35+00:00,"il pomodoro pelato non fa ridere, non ha mai fatto ridere ma quest’anno è anche peggio del solito e il bello è che lui sembra proprio non capire più il programma va avanti e più i suoi atteggiamenti risultano fastidiosi #amici21",PAST4LPESTO, 
2022-04-09 21:29:29+00:00, e speriamo che abbia donato a Filippo la sua pelata...,iinnmyblood, 
2022-04-09 21:29:27+00:00,Rudy che parla così mi ricorda un altro pelato della storia #Amici21,EthanT15W, 
2022-04-09 21:29:09+00:00,dovete mutare il pelato o chiamo la polizia adesso,itsaboutlou, 
2022-04-09 21:28:30+00:00,crytical pieno di tutte le cazzate che dice il pelato lo capisco molto #amici21,hishaylee, 
2022-04-09 21:28:21+00:00,Il pelato a ogni puntata sempre più insopportabile #Amici21,attelocins, 
2022-04-09 21:27:57+00:00,che cesso il pelato boh,egocvntrica, 
2022-04-09 21:27:56+00:00,spoiler nana ??? questi panel mi fanno piangere il cuore madonna ,cassicpea, 
2022-04-09 21:27:19+00:00,"La Pettinelli è così piena, vorrebbe tanto giocare a bowling con la testa del pelato.... #Amici21 #FantaAmici",Alex_myprotege, 
2022-04-09 21:27:03+00:00,Purtroppo il pelato questo non sa farlo ,ailuig96, 
2022-04-09 21:25:57+00:00,Teniamoci sul pezzo o sui pezzi : Aria condizionata/bollette necessarie/tragediedia umana resistenza o fuga/c'è chi non scappa/ L'ignobile nano malefico della politica Europea/pappone della gente in miseria/orgoglio della borghesia dei banchieri Si! Lui ,artattack3ROMA, 
2022-04-09 21:25:32+00:00,dio cristo il pelato mi fa troppo ridere in ste scene,strangersx2, 
2022-04-09 21:25:08+00:00," il pelato non è pelato per caso, è ùn noto neonazista che ha collaborato col Battaglione Azov per difendere il nazista Markiv assassino di Andy Rocchelli ",amaryllide1, 
2022-04-09 21:24:49+00:00,Il pelato mi fa venire il reflusso,vuqueliott, 
2022-04-09 21:24:14+00:00,che bello vedere il pelato umiliarsi da solo,ciaosonoalicee, 
2022-04-09 21:22:10+00:00, Brutto caprone pelato incompetente quanto godrò quando verrai esonerato,27Peppe, 
2022-04-09 21:21:40+00:00,"sentirmi dire da mia sorella ""quanto sono grassa"" anche se è sottopeso mi sento presa in giro",converseusate, 
2022-04-09 21:21:17+00:00,Il topo che si compiace nel vedere il pelato che fa il viscido con sua moglie invece di indignarsi sinceramente mi fa molto schifo #Amici21 ,ilbassottoSC, 
2022-04-09 21:21:04+00:00,"Cari Todaro e Lorella, il pelato mi ha un po’ stancata, vi chiedo gentilmente di lanciare il vostro prossimo guanto di sfida ad Anna e Veronica, così chissà, magari mi scappa pure qualche punto al Fantaamici, Buona Serata ☺️ #Amici21 ",millevoci_, 
2022-04-09 21:20:56+00:00,Il pelato si è cacato sotto per le makumbe e non sono finite se non continua così. #amici21 Schiera sempre LDA con pezzi belli e forse ti salvi. ,Ari_LDABandana, 
2022-04-09 21:20:41+00:00," Non prendere il pezzo con sola carne, prendila con 2 lati con le costole e cuocila in forno appoggiata sugli ossi. Non serve olio e il suo grasso la mantiene più morbida.",agnoluck, 
2022-04-09 21:20:08+00:00,perché le tette piacciono? sono ammassi di grasso sul petto… me le mandate?,elecomida, 
2022-04-09 21:19:53+00:00, Consolati con il nano nello sgabuzzino,Disumano2, 
2022-04-09 21:19:44+00:00,Boh sto teatrino ogni volta di topolino che scherza con il pelato sul suo essere viscido con Francesca con quel fare complice da maschio mi fa abbastanza schifo #Amici21,DioBenedicaMe, 
2022-04-09 21:19:24+00:00,Aspettando il momento in cui in finale Francesca Tocca manderà a cagare il pelato in diretta nazionale #Amici21 ,heyimclaireee, 
2022-04-09 21:18:29+00:00,Very popular opinion: il pelato ha rotto il caxxo. #Amici21,festa_festa00, 
